name,location,industry,description,followers,linkedin_url
Nerve Global,Zug,Entertainment Providers,"Nerve is an infrastructure that facilitates p2p transactions and crowdfunding of dares, entirely on-chain • Specialties: Crypto",1K followers,https://www.linkedin.com/company/nerveglobal/
SuperOrganic®︎ Global,"Zug, Zug",IT Services and IT Consulting,...for sustainable asset growth. We integrate the innovative blockchain and crypto technology to cut out middlemen costs and to empower the growth of Our community...,854 followers,https://www.linkedin.com/company/superorganic/
JayBee AG,Zug,Financial Services,....   FINTECH COMPANIES profit from our know-how as compliance pioneers in the crypto & fintech field as well as our expertise and network. We support with SRO...,1K followers,https://www.linkedin.com/company/jaybee-ag/
Fintechrockers com,"Zürich, Zürich",IT Services and IT Consulting,Specialties: crypto,1K followers,https://www.linkedin.com/company/fintechrockers/
Agius & Partners,Geneva,Staffing and Recruiting,Recruitment in Finance | Blockchain | Tech Switzerland's 1st & Only Web 3 | Blockchain | Crypto Recruitment Firm,1K followers,https://www.linkedin.com/company/agiuspartners/
PTGR AG,Zug,Financial Services,"...clients the opportunity to invest professionally into the crypto world: • PTGR consults with our Strategic Digital Asset Advisory Unit various institutional and non-institutional clients for all kind of Web 3.0 solutions • PTGR provides Blockchain and Crypto Education • PTGR provides several solutions, among others...",1K followers,https://www.linkedin.com/company/ptgr/
Validity Labs AG,"Zürich, Zurich",IT Services and IT Consulting,...to facilitate KYC/AML processes to support fundraiser projects. In 2018 we developed a reporting & forensic suite to provide Crypto-AML services for financial...,1K followers,https://www.linkedin.com/company/validity-labs/
21e6 Capital,"Pfäffikon, Schwyz",Financial Services,"21e6 Capital is a Swiss investment advisor, connecting professional investors with optimal crypto investment products.",1K followers,https://www.linkedin.com/company/21e6-dlt/
Kryptonio Wallet,"Athens, Attiki",Financial Services,Kryptonio removes all the worries of your crypto being lost or stolen.  We are a digital wallet that uses multi-party cryptography (MPC) to create a keyless...,464 followers,https://www.linkedin.com/company/kryptoniowallet/
Globcoin.io,"Zug, Zug",Financial Services,Globcoin is a swiss-based company building the ultimate bridge between crypto and fiat.,449 followers,https://www.linkedin.com/company/globcoin-io/
Swiss Blockchain Academy,"Pfäffikon, Schwyz","Technology, Information and Internet",Founded in 2020 with Swiss government mandate to drive blockchain business applications • Specialties: CRYPTO,403 followers,https://www.linkedin.com/company/swissblockchainacademy/
PWN,Zug,Software Development,DeFi P2P lending & borrowing platform for loans secured by digital assets.   Use your crypto portfolio and/or NFT collection as collateral with great rates.,406 followers,https://www.linkedin.com/company/pwndao/
Blockchain ConsultUs Ltd.,"London, England",Business Consulting and Services,"We provide pan-European legal, compliance, and strategy advice to implement Blockchain in your business",465 followers,https://www.linkedin.com/company/blockchain-consultus/
Prismatic,Zurich,Investment Management,Prismatic builds treasury management solutions & tooling for crypto organizations with maximum security and transparency,389 followers,https://www.linkedin.com/company/prismatic-fi/
Bletchley Park,Zug,Financial Services,Bletchley Park provides alpha focused institutional grade investment solutions of liquid crypto hedge fund strategies.,385 followers,https://www.linkedin.com/company/bletchley-park-asset-management/
Web3 Labs,"Cambridge, MA","Technology, Information and Media","Web3 Labs is a venture studio that focuses on strategy and innovation in Blockchain, Web3, Crypto, DeFi, DAO, NFTs, DApps and the Metaverse. Since 2020 we've helped startups reach a total valuation of $1.25 Billion.",231 followers,https://www.linkedin.com/company/web3-labs/
CJR Staffing - Digital Assets,London,Staffing and Recruiting,"...world of digital asset talent with confidence and ease. Whether you are a small crypto firm  or a large institution, we have the tools and expertise to help you...",179 followers,https://www.linkedin.com/company/cjr-staffing/
AP Technical,"St. Helier, Jersey",Staffing and Recruiting,"IT, FinTech, Crypto & Blockchain, Digital Media and Telecoms Recruitment Specialists",423 followers,https://www.linkedin.com/company/ap-technical/
Mubiz,"Lausanne, Vaud",Software Development,Get paid in crypto-currencies.  Receive fiat in your bank account.,58 followers,https://www.linkedin.com/company/mubiz-sa/
Freebay,Bottighofen,Financial Services,We are an international powerhouse of affiliate marketing partners • Specialties: Leer alles over goud en crypto....de toekomst bepaal jij!,36 followers,https://www.linkedin.com/company/indeco-design/
BiboxEurope,"Zurich, Bellerivestrasse 245",Financial Services,"Leveraging Bibox Exchange's market infrastructure, BiboxEurope caters best to European traders who look to trade high quality digital assets with excellent liquidity. It is designed to bridge the crypto-fiat channel for Bibox. It provides traders an easy and fast access to crypto by enabling using GBP, EUR, CHF to buy...",55 followers,https://www.linkedin.com/company/bibox-europe/
MyMultiMiner GmbH,"Wallisellen, Zürich",Computer Networking Products,Crypto Mining made easy,35 followers,https://www.linkedin.com/company/mymultiminer/
LOCKNESS,Zug Valley,Financial Services,Escrow|FinTech Services for Web3|NFT|GameFi|Metaverse // PayPal for Crypto,29 followers,https://www.linkedin.com/company/locknessblockchain/
Old School GmbH,"Zug, Zug",Software Development,"Old School GmbH is a specialized service provider in blockchain business development, focussing to create a bridge between the crypto-world and traditional business models, shaping tomorrow’s businesses.  We deeply understand blockchain technology and what business opportunities it provides, as we experience this...",60 followers,https://www.linkedin.com/company/old-school-gmbh/
CONSORTIO GROUP AG,"Schindellegi, SZ",IT Services and IT Consulting,Your Blockchain and Fintech Solution Partner • Specialties: Crypto,42 followers,https://www.linkedin.com/company/consortio-group-ag/
IQFinex,"Bülach, Цюрих",Financial Services,"IQFinex is a global group providing crypto-currency services, striving to create unique and useful products. In 2015, the IQFinex team, foreseeing the huge potential of the blockbuster and crypto-currency industry as a basis for the development of the world financial system, directed its efforts to this area...",27 followers,https://www.linkedin.com/company/iqfinex/
CoinSmart AG,"Zug, ZG",Business Consulting and Services,Making the world a better place with a digital mindset.​ • Specialties: Crypto,15 followers,https://www.linkedin.com/company/coinsmart-ag/
rEvolutionCryptoProject,"Lugano, Ticino",Financial Services,"Il rEvolution Crypto Project è una nuova visione sulle cyprovalute basata su WALLiCoin, prevede la ridistribuzione economica fra i partner, attraverso un sistema Semplice, Stabile e Trasparente di scambi facilitati, meccanismi social e nFT fruibili e gestibili da tutti, professionisti e amatori della community...",64 followers,https://www.linkedin.com/company/revolutioncryptoproject/
Swiss Crypto Consulting,"Yverdon, Vaud",Financial Services,Consulting and training in the crypto industry.,219 followers,https://www.linkedin.com/company/swiss-crypto-consulting-ch/
XPERT CRYPTO 🇨🇭,"Morges, Vaud",Financial Services,"Les nouvelles approches digitales telles que la crypto, le WEB 3, les NFT ou encore le Metaverse, vous permettent d’investir sur des milliers de nouvelles positions à fort potentiel.   Investissez comme un PRO et boostez votre épargne en accédant au portefeuille de nos XPERT CRYPTO via des alertes régulières...",70 followers,https://www.linkedin.com/company/xpertcrypto/
BitDials • The Crypto Luxury Marketplace. Since 2016.,"Geneve, Genève",Retail,BitDials is the world’s crypto-only luxury marketplace that provide premium watches and jewelry to the crypto community.,30 followers,https://www.linkedin.com/company/bitdials/
CryptoLook.io - Swiss Crypto Magazine,"Oberwil, Basel Land",Online Audio and Video Media,"CryptoLook.io is a Swiss Crypto Magazine for investors and crypto enthusiasts. CryptoLook operates from Basel, Switerland. Every day we look around the world to deliver the most relevant and top quality crypto news from crypto, fintech and blockchain industry.  For those (individuals/companies/financial institutions...",218 followers,https://www.linkedin.com/company/cryptolook/
Exquisite Workers | Crypto Corpse,"Barcelona, Catalonia",Design Services,The longest collective piece of digital art created daily. Based on Exquisite Corpse game. Surrealism in the Metaverse.,867 followers,https://www.linkedin.com/company/exquisiteworkers/
Click&Crypto,"Zurich, Kreis 3",Retail,C&C is currently the only crypto based online store in Switzerland,20 followers,https://www.linkedin.com/company/clickandcrypto/
FireANTS Crypto Inc.,"Dover, Delaware",Civic and Social Organizations,FireANTS Crypto Inc. is a US-based company that supports philanthropic projects and tribal sovereignty.,45 followers,https://www.linkedin.com/company/fireants/
SACA - Swiss Asia Crypto Alliance,Lucerne,Non-profit Organizations,Fostering Swiss and Asian Crypto & Blockchain Ecosystems by bridging them.,814 followers,https://www.linkedin.com/company/sacaswiss/
nAAAGlobal.AAAG. Crypto NaaniiGlobal.TECH,"Geneva, Geneva",Business Consulting and Services,"Future Internet - Blockchain token - Fidelity Coin and Crypto nAAAGlobal (AAAG) at 'Waves Exchange' stable - and  increasing Value since 2017 creation.  AAAG, the NG disruptive blockchain project;  Focus: Privacy - Quality - Safty - Flexibility - Profitability - great user benefits - low risk and high Value  Twitter...",201 followers,https://www.linkedin.com/company/naaaglobal-aaag-crypto-naaniiglobal-tech/
Swiss Blockchain & Crypto Club,Geneva,"Technology, Information and Internet",All things related to Blockchain and Crypto,40 followers,https://www.linkedin.com/company/swiss-blockchain-crypto-club/
Perpetual Block AG,Zug,Information Technology & Services,"...efficient and scalable manner. Our offerings also stretch out to consulting, blockchain solutions and crypto token issuance (utility, security and NFTs).   Perpetual...",2K followers,https://www.linkedin.com/company/perpetual-block-ag/
Blockchain Valley Ventures,Zug,Financial Services,"...Crypto Valley. BVV came to life as a spin-off from Lykke Corporation, a pioneer in blockchain based trading.  The team, consisting of successful entrepreneurs...",3K followers,https://www.linkedin.com/company/blockchain-valley-ventures/
Mathrix Group,Zug,Financial Services,"...of Mathrix.   As one of the early movers we are committed to crypto native culture and the vibrant energy from the space, where in addition to dedication and high...",1K followers,https://www.linkedin.com/company/mathrix-group/
LS Advisors,"Boulogne-Billancourt, Île-de-France",Investment Banking,LS Advisors is an independent Asset Manager and Investment Advisory firm specialised in diversified asset classes.,3K followers,https://www.linkedin.com/company/ls-advisors/
Securosys,Zurich,Computer Networking Products,Security for the Systems of Tomorrow | Be Digital. Be Secure • Specialties: Crypto,2K followers,https://www.linkedin.com/company/securosys/
Minima,"Zug, Zug Municipality",Software Development,Blockchain made simple: Truly decentralized and ultra-lean. Run a node on your Android device or computer now! • Specialties: crypto,1K followers,https://www.linkedin.com/company/minimaglobal/
SCRYPT,Zug,Financial Services,"SCRYPT provides institutional access to Digital Assets.  Digital Trading Allows customers to securely manage, trade, store, and generate yield on their crypto assets through a market-leading platform.  Digital Investments Enables investors to gain exposure to crypto assets through a regulated portfolio manager.",2K followers,https://www.linkedin.com/company/scrypt-digital/
Genius Yield,Zug,"Technology, Information and Internet","Genius Yield's Yield Optimizer will open the doors for every type of DeFi user; whether they are beginners, intermediate, advance, or unfamiliar with the crypto world, Genius Yield will support them in their journey of achieving financial independence.",2K followers,https://www.linkedin.com/company/geniusyield/
BRD,"Pfäffikon, Switzerland",Software Development,"...platforms, and much more. It is the industry-leading B2B solution that is propelling crypto adoption at scale.",2K followers,https://www.linkedin.com/company/brdhq/
21.co,Zurich,Financial Services,"21.co is the world’s leader in providing access to crypto through simple, easy to use products.",970 followers,https://www.linkedin.com/company/21-co/
Stokholm,"Herrliberg, Zurich",Legal Services,"Ideas are challenging, execution is everything • Specialties: Crypto Law",56 followers,https://www.linkedin.com/company/stokholm/
Feathercoin Development Foundation,Zug,Computer Networking Products,"...Development Foundation aims to to be a valuable catalyst for this enthusiasm, creating a community of crypto enthusiasts who wish to contribute to the Feathercoin development.   With this passionate crypto community behind them, the Feathercoin Development Foundation will drive new and existing ideas to completion...",78 followers,https://www.linkedin.com/company/feathercoin-development-foundation/
Sales Blockchain,Amsterdam,"Technology, Information and Internet","Helping tech, blockchain and IOT companies boost sales and relations • Specialties: crypto",66 followers,https://www.linkedin.com/company/sales-blockchain/
GainBlock AG,"Schindellegi, Schwyz",IT Services and IT Consulting,THE NEW DIMENSION IN FULL SERVICE PROVIDING TO THESE COMPANIES WHO DECIDE THEIR OWN STO • Specialties: Crypto,31 followers,https://www.linkedin.com/company/gainblock/
Mooning Monkey,Zurich,Mobile Gaming Apps,Crypto Betting Platform sharing 60% of its profits with its NFT holders,30 followers,https://www.linkedin.com/company/mooning-monkey/
CiRO Group Limited,Dübendorf,Legal Services,"...successfully recovered many millions of US Dollars in crypto assets for our customers.  For more information, please get in touch.",71 followers,https://www.linkedin.com/company/ciro-llp/
PraSaga SagaChain Blockchain,Zug,"Technology, Information and Internet","ReImagine, ReThink, ReInvent • Specialties: Crypto Investment",63 followers,https://www.linkedin.com/company/prasaga-datagrid-blockchain/
Helix IT-Solutions | Web & IT-Services,"Hombrechtikon, Zurich",IT Services and IT Consulting,Family Office Security · IT-Consulting · IT-Services · Digital Investigation · SEO · SEM · WebDesign • Specialties: Crypto Mining,56 followers,https://www.linkedin.com/company/helix-it-solutions/
Songhaï Capital Partners,Zurich,Investment Management,"Songhaï Investors Ltd.,  a Greater Africa Development and Real-Estate Impact Investor • Specialties: Crypto- Finance",55 followers,https://www.linkedin.com/company/songhai-capital-partners/
ROUTE Crypto Training,Lugano,Professional Training and Coaching,Formazione e Knowledge Management per Professionisti della Finanza,159 followers,https://www.linkedin.com/company/route-crypto-training/
Loriland,Zug,"Technology, Information and Internet","LORILAND is an NFT platform, bringing together the coloring community and the crypto art scene. Powered by RECOLOR",17 followers,https://www.linkedin.com/company/loriland/
Prime Whiterock Company (PWC),"Bassersdorf, Zürich",Software Development,"PWC is a ground breaking project that aims to connect people that don’t know anything of crypto, to DeFI. We aren’t just talking about being a regular coin, we are talking about being the first coin that gets widespread accepted by businesses – such as your local grocery store, your bicycle mechanic, your favorite...",13 followers,https://www.linkedin.com/company/prime-whiterock-company-pwc/
TWELVIN,"Zurich City, Zurich",Financial Services,TWELVIN is an algorithmic crypto asset manager which aims to outperform crypto currency markets – such as Bitcoin and Ethereum – by timing its market orders through a self-developed Quant Engine.,9 followers,https://www.linkedin.com/company/twelvin/
BitBar AG,"Aesch, Zurich",Fabricated Metal Products,"Introducing BitBar - the ultimate crypto offline wallet. Designed by Swiss engineers and made with precision from fireproof stainless steel. This hexagonal bar provides unsurpassed security for your digital assets, even in the harshest conditions. Keep your cryptocurrencies safe with BitBar for generations to come.",2 followers,https://www.linkedin.com/company/bitbarswiss/
Ibex Labs AG,Zürich,IT Services and IT Consulting,"Full Stack Web3 R&D: Crypto & Blockchain Consulting, Tokenomics Design, Product Owner, Strategic Advisory, Product Management, Training, Software Engineering and more.",8 followers,https://www.linkedin.com/company/ibex-labs/
Digital Transactions Services SA,"Neuchâtel, Canton de Neuchâtel",Banking,"...strong supporter of the Swiss Bitcoin, considering crypto-currencies are the future of the Money.   DTrS is part of an ecosystem of presently 7 digital companies...",18 followers,https://www.linkedin.com/company/digital-transactions-services-sa/
Cointract AG,Knutwil,Financial Services,crypto for everyone,15 followers,https://www.linkedin.com/company/cointract/
AUMENT,"Zug, SWITZERLAND",Financial Services,"...a financial center, and Zug, in particular, is recognized as the world’s “crypto valley”. Therefore, Aument AG is established in the heart of the friendly environment with the aim to integrate into the Swiss and international financial market and local crypto-friendly community while applying FINMA legal standards...",13 followers,https://www.linkedin.com/company/aumentcoin/
VertexA AG,Zug,Financial Services,Family office / Corporate consulting / Asset management / Crypto Assets / FinTech Solutions,5 followers,https://www.linkedin.com/company/vertexa-ag/
Cryptoins,"Montreux, Vaud",Insurance,Cryptoins - crypto asset insurance platform owned and supported by  Swiss insurance broker ASPIS SA.,9 followers,https://www.linkedin.com/company/cryptoins/
Kate Vass Galerie,Zurigo,Arts & Crafts,...of collectors. We operate and have marketspace for both traditional and crypto collectors.,323 followers,https://www.linkedin.com/company/kate-vass-galerie/
Vaynie,"Turgi, Aargau",Software Development,"Developing WealthStats, the one and only application you need to keep track of your entire crypto wealth. .#blockchain #web3",331 followers,https://www.linkedin.com/company/vaynie/
HillNick Capitals,"Stansstad, Nidwalden",Financial Services,Decentralized Crypto Hedge Fund.,242 followers,https://www.linkedin.com/company/hillnick-capitals/
Cheksy AG,"Baar, Zug",IT Services and IT Consulting,The Bundled Compliance-Checks Solution • Specialties: Crypto Compliance,301 followers,https://www.linkedin.com/company/cheksy/
CryptoClash,Geneva,Computer Games,CryptoClash is a new revolutionary play-to-earn gaming platform where anyone can win big!,492 followers,https://www.linkedin.com/company/crypto-clash/
Hilman Capital A.G.,"Zug, ZUG",Financial Services,Regulated digital asset management and financial advisory for qualified crypto investors.,326 followers,https://www.linkedin.com/company/hilmancapital/
SMAI,Remote,Information Technology & Services,"We bring Blockchain, Crypto, Web3, DeFi and NFTs technologies closer to everyone.",314 followers,https://www.linkedin.com/company/sinmiedoainvertir/
Patrick Lambertz Photography,"Lachen, Schwyz",Photography,Official page of the Swiss-based artist Patrick Lambertz • Specialties: crypto,280 followers,https://www.linkedin.com/company/patrick-lambertz-photography/
Omedito Ventures,Zurich,Venture Capital and Private Equity Principals,"Omedito Ventures provides services to entrepreneurs, investors, and startups in Building, Expanding and Exiting on their venture journey.   Focused on tech startups in Artificial Intelligence, Augmented/Virtual Reality, Metaverse, Web 3, Crypto and Robotics across various industries including luxury, e-commerce...",269 followers,https://www.linkedin.com/company/omedito/
SWIC Digital,Zurich,Financial Services,Shaping the Future!  “We want to change the world of traditional financial markets by creating a new crypto-economic environment that enables financial trading transactions through a blockchain-based platform.”,198 followers,https://www.linkedin.com/company/swic-digital-ltd/
SCA Asset Management,"Geneva, Geneva",Financial Services,SCA Asset Management is a fully owned division of Swiss Crypto Advisors SA (SCA). We provide holistic asset management integrating digital assets...,10 followers,https://www.linkedin.com/company/sca-am/
Olympia Consulting Partners,"Geneva, Geneva",Financial Services,Crypto market trading and investment. Geneva.,10 followers,https://www.linkedin.com/company/olympia-consulting-partners/
Invi AG,"Zug, Zug",Financial Services,Family-run fintech company providing consulting in the field of blockchain technology and crypto compliance.,7 followers,https://www.linkedin.com/company/invi-ag/
Flat Flip,Zürich,Real Estate and Equipment Rental Services,...property for Stable-Coins receive Crypto Assets when and wherever you want.   Felxibility: Do you want to travel? How can you cover the costs of your apartment if...,3 followers,https://www.linkedin.com/company/flat-flip/
AlgoEmpire,"Lugano, Ticino",Financial Services,"Developer APIs for stock and crypto trading, investing apps, and embedded fintech.",1 follower,https://www.linkedin.com/company/algoempire/
HATs Token,"Zug, Switzerland","Technology, Information and Internet","Decentralized Tools for the Everyday Crypto Enthusiast  Distributed ICO Review and Protocols Utilizing Artificial intelligence, Big Data and Blockchain Technology to Fight Fraud & Protect the Crypto Enthusiast.  Join our community on Telegram: t.me/hatstoken",6 followers,https://www.linkedin.com/company/hatstoken/
Advonaut PRO,"Basel, BS",Legal Services,"Recht unternehmerisch: Advonaut PRO, das Expertennetzwerk von über 100 spezialisierten Wirtschaftskanzleien • Specialties: Blockchain, Crypto, Fintech",0 followers,https://www.linkedin.com/company/advonaut-pro/
ADAMAS®,Steinhausen,IT Services and IT Consulting,"ADAMAS® is a trustworthy and accessible diamond investment. Our crypto token built on Ethereum blockchain brings greater transparency, sustainability and innovation to the one-stop diamond acquisition. We resolved financial and cryptographic issues in the diamond market, safely and transparently assessing their value.",10 followers,https://www.linkedin.com/company/adamas%C2%AE/
LBB,"Stadtkreis 4 Aussersihl, Zurich",Financial Services,"With crypto, we introduce economic democracy and equal capital distribution.",7 followers,https://www.linkedin.com/company/lbbcompany/
SwissDormant,"Thalwil, Zurich",Financial Services,SwissDormant - and early FinTech on the dormant asset recovery field - is now (2018) a provider of alternative banking solutions for the Crypto and Blockchain world. We are a Fi - Financial Intermediary based in Switzerland with relationships on key Crypto friendly jurisdictions. We can help from a simple personal...,8 followers,https://www.linkedin.com/company/swissdormant/
Crypto Asset Box LTD,"Bern, Berne",Software Development,First MultiChain based Business Crypto Asset Issuance Platform. By introducing the tools for a simple marketplace for Business Crypto Assets issuances...,50 followers,https://www.linkedin.com/company/crypto-asset-box/
Crypto Currency Consulting Ltd.,"Visp, Wallis",Financial Services,Connecting Dots | Driving Innovation | Accelerating Growth,175 followers,https://www.linkedin.com/company/crypto-currency-consulting-ltd/
Crypto Alley,"Zug, Zug",Software Development,"...-million-dollar-baby-project-catalyst/). Crypto Alley engages in a wide variety of projects and activities within Project Catalyst.   Given the importance of self-sovereign identity for decentralised governance, Web3, and society in general, Crypto Alley is also working on projects related to Atala PRISM, Cardano's...",38 followers,https://www.linkedin.com/company/crypto-alley/
Crypto Coaching,Paris,Professional Training and Coaching,We want to support anyone wishing to enter (or improve) in the crypto-currency ecosystem.,20 followers,https://www.linkedin.com/company/crypto-coachingcc/
Crypto Credit Association,Zug,Industry Associations,Connecting professionals worldwide working in the crypto credit industry.,18 followers,https://www.linkedin.com/company/crypto-credit-association/
Crypto Valley Festival,"Zug, Zug",Education Administration Programs,"...Event GmbH ist Veranstalter und Sponsor und wir freue uns sehr, Sie auf die zweite Online-Ausgabe des zweitägigen Crypto Valley Festivals am 24./25. Februar...",23 followers,https://www.linkedin.com/company/crypto-valley-festival/
Crypto Heroes,"Zug, Zug",Media Production,"Heroes of the Crypto Valley. We cover news about blockchain, cryptocurrencies, finances and more.",25 followers,https://www.linkedin.com/company/cryptoheroes/
Crypto Rotata,Zürich,IT Services and IT Consulting,The Crypto Currencies Rotating Opportunities Community,4 followers,https://www.linkedin.com/company/crypto-rotata/
Crypto Smarty,Zug,Capital Markets,Revolutionize your digital assets with Crypto Smarty – the ultimate solution for decentralized applications and services,2 followers,https://www.linkedin.com/company/crypto-smarty/
Crypto.Swiss,Baar,Financial Services,We are building the future of Crypto in Switzerland.,11 followers,https://www.linkedin.com/company/crypto-swiss/
x to the x Crypto Fund,Zug,Financial Services,Long-only crypto fund focused on bringing Wall St's rationality to decentralized finance,7 followers,https://www.linkedin.com/company/x-x-crypto-fund/
Glassnode,Zug,Information Services,"...trusted by the world’s leading investors, hedge funds, banks, asset managers, and crypto companies.",6K followers,https://www.linkedin.com/company/glassnode/
CfC St. Moritz,"St Moritz, Graubünden",Events Services,"...investors, uniting the traditional finance sector and the crypto industry in the heart of the snowy Engadin valley. During three days, opinion leaders and high...",5K followers,https://www.linkedin.com/company/cfcstmoritz/
Mt Pelerin,"Neuchâtel, Neuchâtel",Financial Services,Your Swiss gateway to the crypto economy.,9K followers,https://www.linkedin.com/company/mt-pelerin/
Cobidex,"Gibraltar, Gibraltar",Financial Services,...that incentivize users to trade on the exchange. Cobidex is a one-of-a-kind proposition that is here to disrupt the crypto exchange landscape and reshape the very future of crypto.  Cobidex Features:  Trade Mining  Cobi tokens come into circulation through “trade mining.” The trade mining incentive rewards traders...,9K followers,https://www.linkedin.com/company/cobidex/
Wyden,"Zurich, ZH",Information Technology & Services,"...by a team of trading system veterans and crypto asset experts, Wyden offers best-in-class integrated infrastructure solutions that meet the highest institutional...",4K followers,https://www.linkedin.com/company/wyden-io/
smartTrade Technologies,Aix en Provence,Software Development,"smartTrade Technologies is a leading global provider of multi-asset electronic trading platforms, helping customers achieve business growth through our cost-efficient, technologically advanced secure private SaaS end-to-end solution.  smartTrade in-house hosted solutions support Foreign Exchange, Fixed Income, Crypto...",8K followers,https://www.linkedin.com/company/smart-trade-technologies/
YouHodler,Lausanne,Financial Services,"A FinTech platform created to help people to buy, sell, exchange, stake, or trade crypto with ease in one place.",4K followers,https://www.linkedin.com/company/youhodler/
CV VC,Zug,Venture Capital and Private Equity Principals,"...and projects in the space - and to help them grow.  We invest into all stages of crypto and blockchain development, from incubation to pre-ICO and post-ICO. Because...",9K followers,https://www.linkedin.com/company/cvvc/
Aragon,Zug,Software Development,"Aragon is the DAO platform that grows with you. Mint tokens, set governance, and onboard members from one page • Specialties: Crypto",4K followers,https://www.linkedin.com/company/aragonproject/
Kashet,Zug,Financial Services,"At Kashet, we are building the bridge between the banking traditions of the City of London and the digital innovation of Crypto Valley. By combining the old and new worlds of banking, we will deliver quality and innovation in financial technology services.   Our focus is on creating exceptional services that people...",176 followers,https://www.linkedin.com/company/kashet/
Tiberius Technology Ventures AG,"Baar, Zug",Financial Services,Specialties: Crypto Currency,192 followers,https://www.linkedin.com/company/tiberius-crypto-ag/
AlpineBlock,Zurich,Research Services,"World-class consulting agency focussing on blockchain, future tech, DeFi, stablecoins, CBDCs, tokenization and marketing • Specialties: Crypto",178 followers,https://www.linkedin.com/company/alpineblock/
WhatRocks Foundation,"Geneva, Geneva",Philanthropic Fundraising Services,"...marketing performance by offering complimentary crypto to consumers in appreciation for their time, their attention, their engagement, and their purchases.  Consumers earn these crypto rewards from brands as they engage with their ads, visit their social channels, websites, mobile apps, and retail stores, read their...",261 followers,https://www.linkedin.com/company/whatrocks-foundation/
Manthano AI,"Rapperswil, Sankt Gallen",IT Services and IT Consulting,We provide human-labeled AI and Machine learning data and annotation tools to the world’s leading companies • Specialties: Crypto Currencies,223 followers,https://www.linkedin.com/company/manthano-ai/
Gestcosa Sàrl,"Vicques, Jura",Accounting,"Activités fiduciaires : comptabilité, fiscalité, salaires et assurances sociales, crypto monnaies et e-commerce.",230 followers,https://www.linkedin.com/company/gestcosa-s%C3%A0rl/
DeFiAM,Zurich,Computer Networking Products,"...C-level from DeFi and TradFi, involved or interested in crypto. . Our mission is to facilitate development between professional and institutional DeFi...",239 followers,https://www.linkedin.com/company/defiam/
Tatoshi AG,"Zug, Zug",Software Development,Software solutions for mobile business and blockchain industry • Specialties: Crypto Currencies,213 followers,https://www.linkedin.com/company/treble-wallet-ag/
Single Broker,"Baar, Zug",Financial Services,Single brokerage solution for crypto trading and investing,240 followers,https://www.linkedin.com/company/singlebroker/
LM Media Group,"Sion, Valais",Marketing Services,"..., marketing, e-commerce, soins, crypto/NFT...)  🔥 +900k/mois vues cumulées pour nos clients et des dizaines de leads générés  Alors si vous voulez développer votre...",258 followers,https://www.linkedin.com/company/lm-media-group/
gololflix3_0,New York,"Technology, Information and Internet",We are the voice 🎤 of a Language of Life ⚡🔥 in the Metaverse • Specialties: Crypto,50 followers,https://www.linkedin.com/company/gololflix3-0/
