variables,ZG,"Synthetic ZG, Case 0","Synthetic ZG, Case 1","Synthetic ZG, Case 2","Synthetic ZG, Case 3","Synthetic ZG, Case 4"
"Avg. TX in 2020, A 3.11",2848.8,-,7273.57,6605.54,6577.67,6555.14
"Avg. WP in 2020, A 3.11",80234.0,-,-,1775904.72,1782539.03,1773603.08
"Avg. f in 2020, A 3.11",0.42,-,-,-,0.24,0.24
"Avg. IT in 2020, A 3.11",0.42,-,-,-,-,0.58
"Avg. Y in 2020, A 3.12",75.0,76.4,74.17,70.6,64.36,64.15
"Avg. TX in 2020, A 3.12",2848.8,-,7788.55,6983.84,6294.54,6260.2
"Avg. WP in 2020, A 3.12",80234.0,-,-,2101508.32,1968691.71,1966904.95
"Avg. f in 2020, A 3.12",0.42,-,-,-,0.6,0.6
"Avg. IT in 2020, A 3.12",0.42,-,-,-,-,0.55
"Avg. Y in 2020, A 3.13",75.0,76.4,74.17,70.6,64.36,64.15
"Avg. TX in 2020, A 3.13",2848.8,-,7788.55,6983.84,6294.54,6260.2
"Avg. WP in 2020, A 3.13",80234.0,-,-,2101508.32,1968691.71,1966904.95
"Avg. f in 2020, A 3.13",0.42,-,-,-,0.6,0.6
"Avg. IT in 2020, A 3.13",0.42,-,-,-,-,0.55
"Avg. Y in 2020, A 3.14",75.0,76.4,74.17,70.6,64.36,64.15
"Avg. TX in 2020, A 3.14",2848.8,-,7788.55,6983.84,6294.54,6260.2
"Avg. WP in 2020, A 3.14",80234.0,-,-,2101508.32,1968691.71,1966904.95
"Avg. f in 2020, A 3.14",0.42,-,-,-,0.6,0.6
"Avg. IT in 2020, A 3.14",0.42,-,-,-,-,0.55
"Avg. Y in 2020, A 3.15",75.0,76.4,74.17,70.6,64.36,64.15
"Avg. TX in 2020, A 3.15",2848.8,-,7788.55,6983.84,6294.54,6260.2
"Avg. WP in 2020, A 3.15",80234.0,-,-,2101508.32,1968691.71,1966904.95
"Avg. f in 2020, A 3.15",0.42,-,-,-,0.6,0.6
"Avg. IT in 2020, A 3.15",0.42,-,-,-,-,0.55
"Avg. Y in 2020, A 3.16",75.0,76.4,74.17,70.6,64.36,64.15
"Avg. TX in 2020, A 3.16",2848.8,-,7788.55,6983.84,6294.54,6260.2
"Avg. WP in 2020, A 3.16",80234.0,-,-,2101508.32,1968691.71,1966904.95
"Avg. f in 2020, A 3.16",0.42,-,-,-,0.6,0.6
"Avg. IT in 2020, A 3.16",0.42,-,-,-,-,0.55
"Avg. Y in 2020, A 3.17",75.0,76.4,74.17,70.6,64.36,64.15
"Avg. TX in 2020, A 3.17",2848.8,-,7788.55,6983.84,6294.54,6260.2
"Avg. WP in 2020, A 3.17",80234.0,-,-,2101508.32,1968691.71,1966904.95
"Avg. f in 2020, A 3.17",0.42,-,-,-,0.6,0.6
"Avg. IT in 2020, A 3.17",0.42,-,-,-,-,0.55
"Avg. Y in 2020, A 3.18",75.0,76.4,74.17,70.6,64.36,64.15
"Avg. TX in 2020, A 3.18",2848.8,-,7788.55,6983.84,6294.54,6260.2
"Avg. WP in 2020, A 3.18",80234.0,-,-,2101508.32,1968691.71,1966904.95
"Avg. f in 2020, A 3.18",0.42,-,-,-,0.6,0.6
"Avg. IT in 2020, A 3.18",0.42,-,-,-,-,0.55
"Avg. Y in 2020, A 3.19",75.0,74.34,76.8,56.04,55.85,55.64
"Avg. TX in 2020, A 3.19",2848.8,-,7417.73,5961.28,5947.58,5933.14
"Avg. WP in 2020, A 3.19",80234.0,-,-,1665685.62,1659840.52,1653677.05
"Avg. f in 2020, A 3.19",0.42,-,-,-,0.48,0.48
"Avg. IT in 2020, A 3.19",0.42,-,-,-,-,0.57
"Avg. Y in 2020, A 3.20",75.0,74.34,76.8,56.04,55.85,55.64
"Avg. TX in 2020, A 3.20",2848.8,-,7417.73,5961.28,5947.58,5933.14
"Avg. WP in 2020, A 3.20",80234.0,-,-,1665685.62,1659840.52,1653677.05
"Avg. f in 2020, A 3.20",0.42,-,-,-,0.48,0.48
"Avg. IT in 2020, A 3.20",0.42,-,-,-,-,0.57
